"","m","n1","n2","mean","median","max","min"
"1",1,5,5,0.497017892644135,0.500994035785288,0.530815109343936,0.455268389662028
"2",1,5,10,0.49964498721954,0.497017892644135,0.556660039761431,0.447316103379722
"3",1,5,20,0.492331723942062,0.493041749502982,0.518886679920477,0.455268389662028
"4",1,5,90,0.505751207043454,0.501988071570577,0.544731610337972,0.467196819085487
"5",1,5,270,0.509514342516331,0.509940357852883,0.534791252485089,0.437375745526839
"6",1,10,5,0.487503550127805,0.489065606361829,0.520874751491054,0.449304174950298
"7",1,10,10,0.497301902868503,0.49403578528827,0.554671968190855,0.469184890656064
"8",1,10,20,0.485018460664584,0.485089463220676,0.534791252485089,0.443339960238569
"9",1,10,90,0.501988071570577,0.501988071570576,0.538767395626243,0.453280318091451
"10",1,10,270,0.493609769951718,0.493041749502982,0.520874751491054,0.447316103379722
"11",1,20,5,0.510792388525987,0.513916500994036,0.556660039761431,0.479125248508946
"12",1,20,10,0.502556092019313,0.506958250497018,0.560636182902585,0.453280318091451
"13",1,20,20,0.511005396194263,0.512922465208748,0.558648111332008,0.461232604373757
"14",1,20,90,0.501704061346208,0.500994035785288,0.562624254473161,0.469184890656064
"15",1,20,270,0.503408122692417,0.497017892644135,0.538767395626243,0.459244532803181
"16",1,90,5,0.497088895200227,0.490059642147117,0.540755467196819,0.463220675944334
"17",1,90,10,0.497869923317239,0.5,0.534791252485089,0.457256461232604
"18",1,90,20,0.494461800624822,0.49403578528827,0.530815109343936,0.429423459244533
"19",1,90,90,0.495810849190571,0.496023856858847,0.536779324055666,0.461232604373757
"20",1,90,270,0.482675376313547,0.480119284294235,0.526838966202783,0.443339960238569
"21",1,270,5,0.480190286850327,0.479125248508946,0.514910536779324,0.441351888667992
"22",1,270,10,0.492118716273786,0.489065606361829,0.540755467196819,0.451292246520875
"23",1,270,20,0.499715989775632,0.499005964214712,0.542743538767396,0.449304174950298
"24",1,270,90,0.478699233172394,0.474155069582505,0.534791252485089,0.447316103379722
"25",1,270,270,0.489491621698381,0.484095427435388,0.542743538767396,0.457256461232604
