"","m","n1","n2","mean","median","max","min"
"1",1,5,5,0.501207043453564,0.500994035785288,0.540755467196819,0.459244532803181
"2",1,5,10,0.496946890088043,0.498011928429423,0.524850894632207,0.469184890656064
"3",1,5,20,0.495881851746663,0.5,0.526838966202783,0.461232604373757
"4",1,5,90,0.495171826185743,0.497017892644135,0.524850894632207,0.445328031809145
"5",1,5,270,0.475859130928713,0.475149105367793,0.516898608349901,0.449304174950298
"6",1,10,5,0.488497585913093,0.488071570576541,0.530815109343936,0.441351888667992
"7",1,10,10,0.481042317523431,0.482107355864811,0.508946322067594,0.453280318091451
"8",1,10,20,0.479480261289406,0.47713717693837,0.52286282306163,0.441351888667992
"9",1,10,90,0.484095427435388,0.483101391650099,0.530815109343936,0.443339960238569
"10",1,10,270,0.478344220391934,0.476143141153082,0.502982107355865,0.453280318091451
"11",1,20,5,0.526625958534507,0.526838966202783,0.600397614314115,0.497017892644135
"12",1,20,10,0.515975575120704,0.519880715705765,0.556660039761431,0.485089463220676
"13",1,20,20,0.526341948310139,0.525844930417495,0.562624254473161,0.493041749502982
"14",1,20,90,0.513135472877024,0.513916500994036,0.540755467196819,0.481113320079523
"15",1,20,270,0.524921897188299,0.520874751491054,0.560636182902585,0.487077534791252
"16",1,90,5,0.502059074126669,0.5,0.562624254473161,0.475149105367793
"17",1,90,10,0.504615166145981,0.503976143141153,0.540755467196819,0.461232604373757
"18",1,90,20,0.496804884975859,0.499005964214712,0.544731610337972,0.449304174950298
"19",1,90,90,0.505822209599546,0.504970178926441,0.542743538767396,0.475149105367793
"20",1,90,270,0.505467196819085,0.500994035785288,0.536779324055666,0.47117296222664
"21",1,270,5,0.487219539903437,0.488071570576541,0.534791252485089,0.451292246520875
"22",1,270,10,0.488071570576541,0.489065606361829,0.518886679920477,0.461232604373757
"23",1,270,20,0.487716557796081,0.486083499005964,0.52286282306163,0.459244532803181
"24",1,270,90,0.482604373757455,0.482107355864811,0.540755467196819,0.427435387673956
"25",1,270,270,0.489562624254473,0.489065606361829,0.524850894632207,0.449304174950298
"26",5,5,5,0.547452046951045,0.547094188376753,0.643286573146293,0.492985971943888
"27",5,5,10,0.554895505296307,0.552104208416834,0.647294589178357,0.503006012024048
"28",5,5,20,0.564414543372459,0.559118236472946,0.643286573146293,0.507014028056112
"29",5,5,90,0.560549670770112,0.55811623246493,0.623246492985972,0.50501002004008
"30",5,5,270,0.558617234468938,0.570140280561122,0.629258517034068,0.496993987975952
"31",5,10,5,0.551817921557401,0.552104208416834,0.619238476953908,0.50501002004008
"32",5,10,10,0.542871457200115,0.530060120240481,0.649298597194389,0.48496993987976
"33",5,10,20,0.541010592613799,0.538076152304609,0.62124248496994,0.48496993987976
"34",5,10,90,0.535499570569711,0.527054108216433,0.613226452905812,0.490981963927856
